Time,Load
(s),(N)
"0.00000","4.80491"
"0.01000","4.81214"
"0.02000","4.80908"
"0.03000","4.80179"
"0.04000","4.80418"
"0.05000","4.81714"
"0.06000","4.81860"
"0.07000","4.81530"
"0.08000","4.81324"
"0.09000","4.81562"
"0.10000","4.81465"
"0.11000","4.80888"
"0.12000","4.80220"
"0.13000","4.80716"
"0.14000","4.81185"
"0.15000","4.81128"
"0.16000","4.81039"
"0.17000","4.81495"
"0.18000","4.81474"
"0.19000","4.80956"
"0.20000","4.81379"
"0.21000","4.82659"
"0.22000","4.83221"
"0.23000","4.81681"
"0.24000","4.80846"
"0.25000","4.81100"
"0.26000","4.81896"
"0.27000","4.81367"
"0.28000","4.81692"
"0.29000","4.82149"
"0.30000","4.83161"
"0.31000","4.83117"
"0.32000","4.82388"
"0.33000","4.81805"
"0.34000","4.81914"
"0.35000","4.81269"
"0.36000","4.80649"
"0.37000","4.81008"
"0.38000","4.81986"
"0.39000","4.81562"
"0.40000","4.80572"
"0.41000","4.80569"
"0.42000","4.81403"
"0.43000","4.81801"
"0.44000","4.81408"
"0.45000","4.81063"
"0.46000","4.81611"
"0.47000","4.82079"
"0.48000","4.81389"
"0.49000","4.81551"
"0.50000","4.82357"
"0.51000","4.82913"
"0.52000","4.81904"
"0.53000","4.81119"
"0.54000","4.81898"
"0.55000","4.83826"
"0.56000","4.83520"
"0.57000","4.82633"
"0.58000","4.82907"
"0.59000","4.83860"
"0.60000","4.83095"
"0.61000","4.81156"
"0.62000","4.80909"
"0.63000","4.82258"
"0.64000","4.82381"
"0.65000","4.81185"
"0.66000","4.80055"
"0.67000","4.79893"
"0.68000","4.80813"
"0.69000","4.81144"
"0.70000","4.81665"
"0.71000","4.82570"
"0.72000","4.83410"
"0.73000","4.83196"
"0.74000","4.82302"
"0.75000","4.82098"
"0.76000","4.83003"
"0.77000","4.82693"
"0.78000","4.82502"
"0.79000","4.82679"
"0.80000","4.82818"
"0.81000","4.81581"
"0.82000","4.80946"
"0.83000","4.80692"
"0.84000","4.81018"
"0.85000","4.81005"
"0.86000","4.81981"
"0.87000","4.82874"
"0.88000","4.83562"
"0.89000","4.83371"
"0.90000","4.82191"
"0.91000","4.81212"
"0.92000","4.81696"
"0.93000","4.82219"
"0.94000","4.81369"
"0.95000","4.80920"
"0.96000","4.81302"
"0.97000","4.82259"
"0.98000","4.81638"
"0.99000","4.81004"
"1.00000","4.81370"
"1.01000","4.82067"
"1.02000","4.81586"
"1.03000","4.80674"
"1.04000","4.80036"
"1.05000","4.80814"
"1.06000","4.81008"
"1.07000","4.80609"
"1.08000","4.80483"
"1.09000","4.81966"
"1.10000","4.82366"
"1.11000","4.82368"
"1.12000","4.82032"
"1.13000","4.82568"
"1.14000","4.82334"
"1.15000","4.81694"
"1.16000","4.81104"
"1.17000","4.81198"
"1.18000","4.81321"
"1.19000","4.80606"
"1.20000","4.80763"
"1.21000","4.81786"
"1.22000","4.83151"
"1.23000","4.82627"
"1.24000","4.81854"
"1.25000","4.81808"
"1.26000","4.82146"
"1.27000","4.81424"
"1.28000","4.80529"
"1.29000","4.80823"
"1.30000","4.82103"
"1.31000","4.82085"
"1.32000","4.81356"
"1.33000","4.80747"
"1.34000","4.80652"
"1.35000","4.80308"
"1.36000","4.80101"
"1.37000","4.80367"
"1.38000","4.80736"
"1.39000","4.80947"
"1.40000","4.79976"
"1.41000","4.79707"
"1.42000","4.81092"
"1.43000","4.81949"
"1.44000","4.81302"
"1.45000","4.80733"
"1.46000","4.81026"
"1.47000","4.82601"
"1.48000","4.83001"
"1.49000","4.82375"
"1.50000","4.82297"
"1.51000","4.82272"
"1.52000","4.80985"
"1.53000","4.80238"
"1.54000","4.80707"
"1.55000","4.82033"
"1.56000","4.82235"
"1.57000","4.81740"
"1.58000","4.81046"
"1.59000","4.81451"
"1.60000","4.81645"
"1.61000","4.80316"
"1.62000","4.79624"
"1.63000","4.80748"
"1.64000","4.82469"
"1.65000","4.82468"
"1.66000","4.81597"
"1.67000","4.81547"
"1.68000","4.82248"
"1.69000","4.81701"
"1.70000","4.81515"
"1.71000","4.81605"
"1.72000","4.82593"
"1.73000","4.81916"
"1.74000","4.80503"
"1.75000","4.79681"
"1.76000","4.80452"
"1.77000","4.81122"
"1.78000","4.80326"
"1.79000","4.80348"
"1.80000","4.81839"
"1.81000","4.82100"
"1.82000","4.80635"
"1.83000","4.80220"
"1.84000","4.81173"
"1.85000","4.82758"
"1.86000","4.83018"
"1.87000","4.82009"
"1.88000","4.82088"
"1.89000","4.83424"
"1.90000","4.83412"
"1.91000","4.81679"
"1.92000","4.80526"
"1.93000","4.80801"
"1.94000","4.80219"
"1.95000","4.79379"
"1.96000","4.80158"
"1.97000","4.81211"
"1.98000","4.80720"
"1.99000","4.79590"
"2.00000","4.79442"
"2.01000","4.80820"
"2.02000","4.81244"
"2.03000","4.80378"
"2.04000","4.80562"
"2.05000","4.81225"
"2.06000","4.82106"
"2.07000","4.81005"
"2.08000","4.79627"
"2.09000","4.79147"
"2.10000","4.80022"
"2.11000","4.80427"
"2.12000","4.80640"
"2.13000","4.80853"
"2.14000","4.81446"
"2.15000","4.81317"
"2.16000","4.80985"
"2.17000","4.80809"
"2.18000","4.82090"
"2.19000","4.82387"
"2.20000","4.81990"
"2.21000","4.81302"
"2.22000","4.81510"
"2.23000","4.81382"
"2.24000","4.80521"
"2.25000","4.80717"
"2.26000","4.80895"
"2.27000","4.79799"
"2.28000","4.78350"
"2.29000","4.77851"
"2.30000","4.79452"
"2.31000","4.81824"
"2.32000","4.82560"
"2.33000","4.82383"
"2.34000","4.82436"
"2.35000","4.82418"
"2.36000","4.81321"
"2.37000","4.80492"
"2.38000","4.80376"
"2.39000","4.80046"
"2.40000","4.79780"
"2.41000","4.79363"
"2.42000","4.80222"
"2.43000","4.82489"
"2.44000","4.82897"
"2.45000","4.81767"
"2.46000","4.81257"
"2.47000","4.81536"
"2.48000","4.81382"
"2.49000","4.81024"
"2.50000","4.80805"
"2.51000","4.80531"
"2.52000","4.81035"
"2.53000","4.80670"
"2.54000","4.80856"
"2.55000","4.80913"
"2.56000","4.81400"
"2.57000","4.81156"
"2.58000","4.80627"
"2.59000","4.80156"
"2.60000","4.80535"
"2.61000","4.80906"
"2.62000","4.81050"
"2.63000","4.80767"
"2.64000","4.82060"
"2.65000","4.82214"
"2.66000","4.81128"
"2.67000","4.80322"
"2.68000","4.80430"
"2.69000","4.80557"
"2.70000","4.80691"
"2.71000","4.81266"
"2.72000","4.81570"
"2.73000","4.81871"
"2.74000","4.81755"
"2.75000","4.80649"
"2.76000","4.80779"
"2.77000","4.81751"
"2.78000","4.81186"
"2.79000","4.79739"
"2.80000","4.79805"
"2.81000","4.81908"
"2.82000","4.82070"
"2.83000","4.81490"
"2.84000","4.81252"
"2.85000","4.80826"
"2.86000","4.79540"
"2.87000","4.78507"
"2.88000","4.78373"
"2.89000","4.79765"
"2.90000","4.80640"
"2.91000","4.80769"
"2.92000","4.81272"
"2.93000","4.81938"
"2.94000","4.82370"
"2.95000","4.81940"
"2.96000","4.81130"
"2.97000","4.80737"
"2.98000","4.81269"
"2.99000","4.80768"
"3.00000","4.80314"
"3.01000","4.80016"
"3.02000","4.80096"
"3.03000","4.79424"
"3.04000","4.79553"
"3.05000","4.80130"
"3.06000","4.81138"
"3.07000","4.80819"
"3.08000","4.79563"
"3.09000","4.78836"
"3.10000","4.80645"
"3.11000","4.81783"
"3.12000","4.81296"
"3.13000","4.80864"
"3.14000","4.81645"
"3.15000","4.81852"
"3.16000","4.80408"
"3.17000","4.79430"
"3.18000","4.80455"
"3.19000","4.81192"
"3.20000","4.80130"
"3.21000","4.79664"
"3.22000","4.80015"
"3.23000","4.80556"
"3.24000","4.81125"
"3.25000","4.81200"
"3.26000","4.81628"
"3.27000","4.81679"
"3.28000","4.80726"
"3.29000","4.79980"
"3.30000","4.79932"
"3.31000","4.80488"
"3.32000","4.80796"
"3.33000","4.80231"
"3.34000","4.80223"
"3.35000","4.80489"
"3.36000","4.80031"
"3.37000","4.79110"
"3.38000","4.79101"
"3.39000","4.81203"
"3.40000","4.82006"
"3.41000","4.81237"
"3.42000","4.80027"
"3.43000","4.79525"
"3.44000","4.79797"
"3.45000","4.79501"
"3.46000","4.79164"
"3.47000","4.79858"
"3.48000","4.80333"
"3.49000","4.79685"
"3.50000","4.79656"
"3.51000","4.79612"
"3.52000","4.80599"
"3.53000","4.80200"
"3.54000","4.78786"
"3.55000","4.78982"
"3.56000","4.80911"
"3.57000","4.81431"
"3.58000","4.81196"
"3.59000","4.80477"
"3.60000","4.80357"
"3.61000","4.80264"
"3.62000","4.79109"
"3.63000","4.78421"
"3.64000","4.78828"
"3.65000","4.79111"
"3.66000","4.78696"
"3.67000","4.79085"
"3.68000","4.80044"
"3.69000","4.80882"
"3.70000","4.79998"
"3.71000","4.78684"
"3.72000","4.78400"
"3.73000","4.78758"
"3.74000","4.78099"
"3.75000","4.77979"
"3.76000","4.78943"
"3.77000","4.80728"
"3.78000","4.81139"
"3.79000","4.80693"
"3.80000","4.80961"
"3.81000","4.81356"
"3.82000","4.80988"
"3.83000","4.80242"
"3.84000","4.79975"
"3.85000","4.80897"
"3.86000","4.82232"
"3.87000","4.81454"
"3.88000","4.80047"
"3.89000","4.80830"
"3.90000","4.81698"
"3.91000","4.80528"
"3.92000","4.79567"
"3.93000","4.79557"
"3.94000","4.80532"
"3.95000","4.80700"
"3.96000","4.80096"
"3.97000","4.80420"
"3.98000","4.81456"
"3.99000","4.81630"
"4.00000","4.80625"
"4.01000","4.80814"
"4.02000","4.81470"
"4.03000","4.82025"
"4.04000","4.81018"
"4.05000","4.80624"
"4.06000","4.81054"
"4.07000","4.81365"
"4.08000","4.80496"
"4.09000","4.80359"
"4.10000","4.81415"
"4.11000","4.82463"
"4.12000","4.81503"
"4.13000","4.80931"
"4.14000","4.81272"
"4.15000","4.81666"
"4.16000","4.80668"
"4.17000","4.80226"
"4.18000","4.80490"
"4.19000","4.80224"
"4.20000","4.79659"
"4.21000","4.79614"
"4.22000","4.80303"
"4.23000","4.80635"
"4.24000","4.79703"
"4.25000","4.79312"
"4.26000","4.80354"
"4.27000","4.82204"
"4.28000","4.82983"
"4.29000","4.81950"
"4.30000","4.81236"
"4.31000","4.81684"
"4.32000","4.82051"
"4.33000","4.81084"
"4.34000","4.80771"
"4.35000","4.81353"
"4.36000","4.81823"
"4.37000","4.80411"
"4.38000","4.78706"
"4.39000","4.78194"
"4.40000","4.79807"
"4.41000","4.80457"
"4.42000","4.80103"
"4.43000","4.80146"
"4.44000","4.80579"
"4.45000","4.79713"
"4.46000","4.79023"
"4.47000","4.79524"
"4.48000","4.81411"
"4.49000","4.81854"
"4.50000","4.80575"
"4.51000","4.79808"
"4.52000","4.80392"
"4.53000","4.79960"
"4.54000","4.79203"
"4.55000","4.79213"
"4.56000","4.80182"
"4.57000","4.81304"
"4.58000","4.81260"
"4.59000","4.80939"
"4.60000","4.81663"
"4.61000","4.82133"
"4.62000","4.81582"
"4.63000","4.81055"
"4.64000","4.81104"
"4.65000","4.82228"
"4.66000","4.81541"
"4.67000","4.79396"
"4.68000","4.78813"
"4.69000","4.79786"
"4.70000","4.79659"
"4.71000","4.79749"
"4.72000","4.80679"
"4.73000","4.82045"
"4.74000","4.81377"
"4.75000","4.79768"
"4.76000","4.79591"
"4.77000","4.80976"
"4.78000","4.81496"
"4.79000","4.81008"
"4.80000","4.80115"
"4.81000","4.80830"
"4.82000","4.80791"
"4.83000","4.79659"
"4.84000","4.78606"
"4.85000","4.78790"
"4.86000","4.79662"
"4.87000","4.88948"
"4.88000","7.35635"
"4.89000","16.43544"
"4.89700","29.27616"
"4.90200","42.44419"
"4.90600","55.36475"
"4.91000","70.24210"
"4.91400","86.83408"
"4.91700","100.22552"
"4.92000","114.26997"
"4.92300","128.81856"
"4.92600","143.72940"
"4.92900","158.87483"
"4.93200","174.14018"
"4.93500","189.41743"
"4.93800","204.60291"
"4.94100","219.60205"
"4.94400","234.33739"
"4.94700","248.74817"
"4.95000","262.78317"
"4.95300","276.39545"
"4.95600","289.54773"
"4.95900","302.21463"
"4.96300","318.32309"
"4.96700","333.51166"
"4.97100","347.76041"
"4.97500","361.06778"
"4.98000","376.39420"
"4.98500","390.29227"
"4.99000","402.81650"
"4.99600","416.10846"
"5.00300","429.34161"
"5.01200","442.99747"
"5.02200","454.12701"
"5.03200","461.43759"
"5.04200","465.49371"
"5.05200","466.99915"
"5.06200","466.78860"
"5.07200","465.72659"
"5.08200","464.56226"
"5.09200","463.71475"
"5.10200","463.25647"
"5.11200","463.02301"
"5.12200","462.84818"
"5.13200","462.66476"
"5.14200","462.48782"
"5.15200","462.35599"
"5.16200","462.25934"
"5.17200","462.18011"
"5.18200","462.11545"
"5.19200","462.03741"
"5.20200","461.92099"
"5.21200","461.80173"
"5.22200","461.70895"
"5.23200","461.63812"
"5.24200","461.55991"
"5.25200","461.47342"
"5.26200","461.39471"
"5.27200","461.33023"
"5.28200","461.26135"
"5.29200","461.19415"
"5.30200","461.13522"
"5.31200","461.08450"
"5.32200","461.03482"
"5.33200","460.97223"
"5.34200","460.91330"
"5.35200","460.86279"
"5.36200","460.80905"
"5.37200","460.74725"
"5.38200","460.70218"
"5.39200","460.69543"
"5.40200","460.70569"
"5.41200","460.67554"
"5.42200","460.61899"
"5.43200","460.55820"
"5.44200","460.50613"
"5.45200","460.45587"
"5.46200","460.40936"
"5.47200","460.36829"
"5.48200","460.34079"
"5.49200","460.30014"
"5.50200","460.23962"
"5.51200","460.18259"
"5.52200","460.14365"
"5.53200","460.11526"
"5.54200","460.08215"
"5.55200","460.05505"
"5.56200","460.03876"
"5.57200","460.01639"
"5.58200","459.98502"
"5.59200","459.95105"
"5.60200","459.93011"
"5.61200","459.91275"
"5.62200","459.88290"
"5.63200","459.84860"
"5.64200","459.82001"
"5.65200","459.80566"
"5.66200","459.77890"
"5.67200","459.75235"
"5.68200","459.73401"
"5.69200","459.73080"
"5.70200","459.72061"
"5.71200","459.70337"
"5.72200","459.67981"
"5.73200","459.66656"
"5.74200","459.64758"
"5.75200","459.61478"
"5.76200","459.58673"
"5.77200","459.57639"
"5.78200","459.56671"
"5.79200","459.55038"
"5.80200","459.53482"
"5.81200","459.52896"
"5.82200","459.52328"
"5.83200","459.50980"
"5.84200","459.49985"
"5.85200","459.49039"
"5.86200","459.47849"
"5.87200","459.46051"
"5.88200","459.44632"
"5.89200","459.43262"
"5.90200","459.42908"
"5.91200","459.42612"
"5.92200","459.41714"
"5.93200","459.41022"
"5.94200","459.40344"
"5.95200","459.38913"
"5.96200","459.37341"
"5.97200","459.36093"
"5.98200","459.35532"
"5.99200","459.34689"
"6.00200","459.33810"
"6.01200","459.33466"
"6.02200","459.34143"
"6.03200","459.34216"
"6.04200","459.33331"
"6.05200","459.32666"
"6.06200","459.32346"
"6.07200","459.32556"
"6.08200","459.31421"
"6.09200","459.30716"
"6.10200","459.29712"
"6.11200","459.29623"
"6.12200","459.28418"
"6.13200","459.27753"
"6.14200","459.28067"
"6.15200","459.29239"
"6.16200","459.28482"
"6.17200","459.27621"
"6.18200","459.27017"
"6.19200","459.27267"
"6.20200","459.26996"
"6.21200","459.26443"
"6.22200","459.25778"
"6.23200","459.26547"
"6.24200","459.27271"
"6.25200","459.27020"
"6.26200","459.26343"
"6.27200","459.26266"
"6.28200","459.26648"
"6.29200","459.26959"
"6.30200","459.26822"
"6.31200","459.28146"
"6.32200","459.29221"
"6.33200","459.28397"
"6.34200","459.28638"
"6.35200","459.29611"
"6.36200","459.30508"
"6.37200","459.30490"
"6.38200","459.30603"
"6.39200","459.30783"
"6.40200","459.31812"
"6.41200","459.31921"
"6.42200","459.32706"
"6.43200","459.33371"
"6.44200","459.34290"
"6.45200","459.34103"
"6.46200","459.33582"
"6.47200","459.33911"
"6.48200","459.34518"
"6.49200","459.35138"
"6.50200","459.35535"
"6.51200","459.36243"
"6.52200","459.37946"
"6.53200","459.39694"
"6.54200","459.40225"
"6.55200","459.40692"
"6.56200","459.41718"
"6.57200","459.42273"
"6.58200","459.42514"
"6.59200","459.42859"
"6.60200","459.43857"
"6.61200","459.45547"
"6.62200","459.45795"
"6.63200","459.46304"
"6.64200","459.47137"
"6.65200","459.48322"
"6.66200","459.48221"
"6.67200","459.48209"
"6.68200","459.48724"
"6.69200","459.50641"
"6.70200","459.51236"
"6.71200","459.51111"
"6.72200","459.52014"
"6.73200","459.53815"
"6.74200","459.55234"
"6.75200","459.56046"
"6.76200","459.57764"
"6.77200","459.59885"
"6.78200","459.61298"
"6.79200","459.61832"
"6.80200","459.62378"
"6.81200","459.63184"
"6.82200","459.64471"
"6.83200","459.65161"
"6.84200","459.65994"
"6.85200","459.67166"
"6.86200","459.69028"
"6.87200","459.69739"
"6.88200","459.70108"
"6.89200","459.71497"
"6.90200","459.74051"
"6.91200","459.75021"
"6.92200","459.75665"
"6.93200","459.77585"
"6.94200","459.79367"
"6.95200","459.79913"
"6.96200","459.80099"
"6.97200","459.81049"
"6.98200","459.83508"
"6.99200","459.85294"
"7.00200","459.85547"
"7.01200","459.85385"
"7.02200","459.87210"
"7.03200","459.89078"
"7.04200","459.90009"
"7.05200","459.91425"
"7.06200","459.93027"
"7.07200","459.94806"
"7.08200","459.95694"
"7.09200","459.96552"
"7.10200","459.97791"
"7.11200","459.99640"
"7.12200","460.00955"
"7.13200","460.01782"
"7.14200","460.02588"
"7.15200","460.04877"
"7.16200","460.06815"
"7.17200","460.07217"
"7.18200","460.08783"
"7.19200","460.11127"
"7.20200","460.12714"
"7.21200","460.13364"
"7.22200","460.13480"
"7.23200","460.15372"
"7.24200","460.17154"
"7.25200","460.17392"
"7.26200","460.18344"
"7.27200","460.20255"
"7.28200","460.23068"
"7.29200","460.24005"
"7.30200","460.25482"
"7.31200","460.27426"
"7.32200","460.29306"
"7.33200","460.29535"
"7.34200","460.29636"
"7.35200","460.30936"
"7.36200","460.33389"
"7.37200","460.34668"
"7.38200","460.35846"
"7.39200","460.38016"
"7.40200","460.40411"
"7.41200","460.42133"
"7.42200","460.42728"
"7.43200","460.43164"
"7.44200","460.45697"
"7.45200","460.47858"
"7.46200","460.48676"
"7.47200","460.49890"
"7.48200","460.51099"
"7.49200","460.53241"
"7.50200","460.54419"
"7.51200","460.55774"
"7.52200","460.57855"
"7.53200","460.60223"
"7.54200","460.61548"
"7.55200","460.62543"
"7.56200","460.63748"
"7.57200","460.66229"
"7.58200","460.67334"
"7.59200","460.68362"
"7.60200","460.70096"
"7.61200","460.72412"
"7.62200","460.74112"
"7.63200","460.75662"
"7.64200","460.77240"
"7.65200","460.79175"
"7.66200","460.80881"
"7.67200","460.81308"
"7.68200","460.81677"
"7.69200","460.83209"
"7.70200","460.85150"
"7.71200","460.86865"
"7.72200","460.89191"
"7.73200","460.91272"
"7.74200","460.92880"
"7.75200","460.93930"
"7.76200","460.94910"
"7.77200","460.97256"
"7.78200","461.00494"
"7.79200","461.01971"
"7.80200","461.02609"
"7.81200","461.03812"
"7.82200","461.06503"
"7.83200","461.08038"
"7.84200","461.08978"
"7.85200","461.09805"
"7.86200","461.11987"
"7.87200","461.12976"
"7.88200","461.13663"
"7.89200","461.15570"
"7.90200","461.17963"
"7.91200","461.19687"
"7.92200","461.21024"
"7.93200","461.23172"
"7.94200","461.26337"
"7.95200","461.28445"
"7.96200","461.28922"
"7.97200","461.28638"
"7.98200","461.29868"
"7.99200","461.31982"
"8.00200","461.33105"
"8.01200","461.33838"
"8.02200","461.35275"
"8.03200","461.37585"
"8.04200","461.38828"
"8.05200","461.40280"
"8.06200","461.41449"
"8.07200","461.43384"
"8.08200","461.44852"
"8.09200","461.46066"
"8.10200","461.47427"
"8.11200","461.49652"
"8.12200","461.51389"
"8.13200","461.53098"
"8.14200","461.55057"
"8.15200","461.57303"
"8.16200","461.58936"
"8.17200","461.59222"
"8.18200","461.60764"
"8.19200","461.62820"
"8.20200","461.65143"
"8.21200","461.66260"
"8.22200","461.66803"
"8.23200","461.67993"
"8.24200","461.70874"
"8.25200","461.72263"
"8.26200","461.73856"
"8.27200","461.76437"
"8.28200","461.79324"
"8.29200","461.80731"
"8.30200","461.81061"
"8.31200","461.82632"
"8.32200","461.85770"
"8.33200","461.87677"
"8.34200","461.87830"
"8.35200","461.88739"
"8.36200","461.91449"
"8.37200","461.93399"
"8.38200","461.93100"
"8.39200","461.92682"
"8.40200","461.94604"
"8.41200","461.97134"
"8.42200","461.98480"
"8.43200","462.00082"
"8.44200","462.02112"
"8.45200","462.04361"
"8.46200","462.05475"
"8.47200","462.07016"
"8.48200","462.09183"
"8.49200","462.11530"
"8.50200","462.12164"
"8.51200","462.12512"
"8.52200","462.14536"
"8.53200","462.17459"
"8.54200","462.18637"
"8.55200","462.19037"
"8.56200","462.19846"
"8.57200","462.21722"
"8.58200","462.23694"
"8.59200","462.25467"
"8.60200","462.28024"
"8.61200","462.31058"
"8.62200","462.32465"
"8.63200","462.33435"
"8.64200","462.34665"
"8.65200","462.36700"
"8.66200","462.37631"
"8.67200","462.38016"
"8.68200","462.39111"
"8.69200","462.40628"
"8.70200","462.43445"
"8.71200","462.45801"
"8.72200","462.47397"
"8.73200","462.48819"
"8.74200","462.50470"
"8.75200","462.51431"
"8.76200","462.52969"
"8.77200","462.54999"
"8.78200","462.57983"
"8.79200","462.59030"
"8.80200","462.60416"
"8.81200","462.62848"
"8.82200","462.64642"
"8.83200","462.65207"
"8.84200","462.65311"
"8.85200","462.66653"
"8.86200","462.68747"
"8.87200","462.70123"
"8.88200","462.70905"
"8.89200","462.71902"
"8.90200","462.75143"
"8.91200","462.78040"
"8.92200","462.79251"
"8.93200","462.81082"
"8.94200","462.83252"
"8.95200","462.85175"
"8.96200","462.86328"
"8.97200","462.87497"
"8.98200","462.89581"
"8.99200","462.92352"
"9.00200","462.93118"
"9.01200","462.94275"
"9.02200","462.96088"
"9.03200","462.98807"
"9.04200","462.99365"
"9.05200","462.99240"
"9.06200","462.99933"
"9.07200","463.02200"
"9.08200","463.03592"
"9.09200","463.04834"
"9.10200","463.06271"
"9.11200","463.08887"
"9.12200","463.10614"
"9.13200","463.10901"
"9.14200","463.11368"
"9.15200","463.14386"
"9.16200","463.17801"
"9.17200","463.19525"
"9.18200","463.20651"
"9.19200","463.21756"
"9.20200","463.23471"
"9.21200","463.24069"
"9.22200","463.24753"
"9.23200","463.26364"
"9.24200","463.28363"
"9.25200","463.29486"
"9.26200","463.31201"
"9.27200","463.33331"
"9.28200","463.35474"
"9.29200","463.36322"
"9.30200","463.37622"
"9.31200","463.38541"
"9.32200","463.40134"
"9.33200","463.41190"
"9.34200","463.42371"
"9.35200","463.44183"
"9.36200","463.46039"
"9.37200","463.47488"
"9.38200","463.47272"
"9.39200","463.47125"
"9.40200","463.49622"
"9.41200","463.52185"
"9.42200","463.53186"
"9.43200","463.54620"
"9.44200","463.57050"
"9.45200","463.59555"
"9.46200","463.60876"
"9.47200","463.61874"
"9.48200","463.63541"
"9.49200","463.65878"
"9.50200","463.66647"
"9.51200","463.66953"
"9.52200","463.68494"
"9.53200","463.71173"
"9.54200","463.72159"
"9.55200","463.73151"
"9.56200","463.75278"
"9.57200","463.77649"
"9.58200","463.78934"
"9.59200","463.79211"
"9.60200","463.79834"
"9.61200","463.82162"
"9.62200","463.84393"
"9.63200","463.85724"
"9.64200","463.86920"
"9.65200","463.89163"
"9.66200","463.90906"
"9.67200","463.91647"
"9.68200","463.92133"
"9.69200","463.93253"
"9.70200","463.95630"
"9.71200","463.96793"
"9.72200","463.97198"
"9.73200","463.98550"
"9.74200","464.00757"
"9.75200","464.02200"
"9.76200","464.03275"
"9.77200","464.04733"
"9.78200","464.07428"
"9.79200","464.09036"
"9.80200","464.08984"
"9.81200","464.09726"
"9.82200","464.11972"
"9.83200","464.12854"
"9.84200","464.12506"
"9.85200","464.13843"
"9.86200","464.15784"
"9.87200","464.17133"
"9.88200","464.18024"
"9.89200","464.19363"
"9.90200","464.22220"
"9.91200","464.24585"
"9.92200","464.24643"
"9.93200","464.24826"
"9.94200","464.26581"
"9.95200","464.29086"
"9.96200","464.30695"
"9.97200","464.27066"
"9.98200","464.12051"
"9.99200","463.95544"
"10.00200","461.69705"
"10.01200","448.49918"
"10.01700","436.62753"
